Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,lat,lon
4,4,"Bellagio, Ext North Inves Area, New Cairo City, Cairo",380,6500000, Cairo,Egypt,buy,102245000.0,Twin House, New Cairo City,30.02012785,31.498220627134504
4,4,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",420,10000000, Cairo,Egypt,buy,157300000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"Grand Heights, Northern Expansions, 6 October City, Giza",330,5500000, Giza,Egypt,buy,86515000.0,Twin House, 6 October City,30.1176285,31.367206
4,4,"Telal Al Sokhna, Al Ain Al Sokhna, Suez",140,1400000, Suez,Egypt,buy,22022000.0,Twin House, Al Ain Al Sokhna,30.0742818,31.54437395381909
5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",355,6700000, Cairo,Egypt,buy,105391000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
2,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",156,2850000, Cairo,Egypt,buy,44830500.0,Apartment, New Cairo City,30.06310285,31.45544747510749
5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",331,6700000, Cairo,Egypt,buy,105391000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",341,7000000, Cairo,Egypt,buy,110110000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
5,6,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",470,8500000, Cairo,Egypt,buy,133705000.0,Villa, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",348,6900000, Cairo,Egypt,buy,108537000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",331,6400000, Cairo,Egypt,buy,100672000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
2,2,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",170,2000000, Cairo,Egypt,buy,31460000.0,Apartment, New Cairo City,30.02012785,31.498220627134504
5,3,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",245,8062000, Cairo,Egypt,buy,126815260.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
2,2,"Azha, Al Ain Al Sokhna, Suez",110,2100000, Suez,Egypt,buy,33033000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",279,5650000, Cairo,Egypt,buy,88874500.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
2,3,"The MarQ, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185,4200000, Cairo,Egypt,buy,66066000.0,Villa, New Cairo City,30.06310285,31.45544747510749
2,2,"Palm Parks   Palm Hills, South Dahshur Link, 6 October City, Giza",92,2507000, Giza,Egypt,buy,39435110.0,Apartment, 6 October City,30.1176285,31.367206
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",230,7500000, Cairo,Egypt,buy,117975000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
2,3,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",166,2160000, Cairo,Egypt,buy,33976800.0,Apartment, New Cairo City,30.06310285,31.45544747510749
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",253,8200000, Cairo,Egypt,buy,128986000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,5,"Sarayat Al Maadi, Hay El Maadi, Cairo",350,5500000, Cairo,Egypt,buy,86515000.0,Apartment, Hay El Maadi,30.048819,31.243666
